safra;dia;folha;nitro;lado;poda;bloco;sever
1;49;62;40;1;2;I;0.19
1;56;62;40;1;2;I;NA
1;63;62;40;1;2;I;NA
1;70;62;40;1;2;I;NA
1;77;62;40;1;2;I;NA
1;84;62;40;1;2;I;NA
1;0;63;40;1;2;I;0
1;14;63;40;1;2;I;0
1;21;63;40;1;2;I;0
1;28;63;40;1;2;I;0
1;35;63;40;1;2;I;0.2
1;42;63;40;1;2;I;0.3
1;49;63;40;1;2;I;0.7
1;56;63;40;1;2;I;4
1;63;63;40;1;2;I;NA
1;70;63;40;1;2;I;NA
1;77;63;40;1;2;I;NA
1;84;63;40;1;2;I;NA
1;0;64;40;1;2;I;0
1;14;64;40;1;2;I;0.05
1;21;64;40;1;2;I;0.06
1;28;64;40;1;2;I;0.2
1;35;64;40;1;2;I;0.9
1;42;64;40;1;2;I;2
1;49;64;40;1;2;I;1.2
1;56;64;40;1;2;I;3
1;63;64;40;1;2;I;1.8
1;70;64;40;1;2;I;NA
1;77;64;40;1;2;I;NA
1;84;64;40;1;2;I;NA
1;0;65;40;1;2;I;0
1;14;65;40;1;2;I;0
1;21;65;40;1;2;I;0
1;28;65;40;1;2;I;0
1;35;65;40;1;2;I;0.9
1;42;65;40;1;2;I;0.1
1;49;65;40;1;2;I;0.7
1;56;65;40;1;2;I;0.8
1;63;65;40;1;2;I;2
1;70;65;40;1;2;I;4
1;77;65;40;1;2;I;2
1;84;65;40;1;2;I;2.8
1;0;66;40;1;2;I;0
1;14;66;40;1;2;I;NA
1;21;66;40;1;2;I;NA
1;28;66;40;1;2;I;NA
1;35;66;40;1;2;I;NA
1;42;66;40;1;2;I;NA
1;49;66;40;1;2;I;NA
1;56;66;40;1;2;I;NA
1;63;66;40;1;2;I;NA
1;70;66;40;1;2;I;NA
1;77;66;40;1;2;I;NA
1;84;66;40;1;2;I;NA
1;0;67;40;1;2;I;0
1;14;67;40;1;2;I;0
1;21;67;40;1;2;I;0
1;28;67;40;1;2;I;0
1;35;67;40;1;2;I;0.9
1;42;67;40;1;2;I;0.6
1;49;67;40;1;2;I;0.3
1;56;67;40;1;2;I;0.9
1;63;67;40;1;2;I;1.8
1;70;67;40;1;2;I;3.8
1;77;67;40;1;2;I;NA
1;84;67;40;1;2;I;NA
1;0;68;40;1;2;I;0
1;14;68;40;1;2;I;0
1;21;68;40;1;2;I;0
1;28;68;40;1;2;I;0
1;35;68;40;1;2;I;0.07
1;42;68;40;1;2;I;0.4
1;49;68;40;1;2;I;0.25
1;56;68;40;1;2;I;2
1;63;68;40;1;2;I;2.2
