eva,iso,fun,rep,dos,d1,d2
1,m5,Propiconazole,1,0.025,1255,1092
1,m5,Propiconazole,1,0.125,1286,1111
1,m5,Propiconazole,2,0.125,1055,1162
1,m5,Propiconazole,1,0.625,818,682
1,m5,Propiconazole,1,3.125,400,400
1,m5,Propiconazole,2,3.125,400,400
1,m5,Propiconazole,1,15.625,400,400
1,m5,Prothioconazole,1,0,1779,1788
1,m5,Prothioconazole,2,0,1650,1603
1,m5,Prothioconazole,1,0.001,1135,1407
1,m5,Prothioconazole,1,0.005,1349,1393
1,m5,Prothioconazole,2,0.005,1572,1556
1,m5,Prothioconazole,1,0.025,986,1022
1,m5,Prothioconazole,1,0.125,622,647
1,m5,Prothioconazole,2,0.125,655,671
1,m5,Prothioconazole,1,0.625,400,400
1,m5,Prothioconazole,1,3.125,400,400
1,m5,Prothioconazole,2,3.125,400,400
1,m5,Prothioconazole,1,15.625,400,400
1,m5,Tebuconazole,1,0,1779,1788
1,m5,Tebuconazole,2,0,1650,1603
1,m5,Tebuconazole,1,0.001,1725,1737
1,m5,Tebuconazole,1,0.005,1699,1840
1,m5,Tebuconazole,2,0.005,1124,1075
1,m5,Tebuconazole,1,0.025,1424,1315
1,m5,Tebuconazole,1,0.125,1570,1490
1,m5,Tebuconazole,2,0.125,1183,1151
1,m5,Tebuconazole,1,0.625,918,878
1,m5,Tebuconazole,1,3.125,726,658
1,m5,Tebuconazole,2,3.125,659,660
1,m5,Tebuconazole,1,15.625,400,400
2,m5,Myclobutanil,1,0,1681,1535
2,m5,Myclobutanil,2,0,1499,1496
2,m5,Myclobutanil,1,0.001,1309,1290
2,m5,Myclobutanil,1,0.005,1022,1010
2,m5,Myclobutanil,2,0.005,1313,1382
2,m5,Myclobutanil,1,0.025,1226,1202
2,m5,Myclobutanil,1,0.125,1202,1125
2,m5,Myclobutanil,2,0.125,1193,1180
2,m5,Myclobutanil,1,0.625,1041,984
2,m5,Myclobutanil,1,3.125,977,956
2,m5,Myclobutanil,2,3.125,997,994
2,m5,Myclobutanil,1,15.625,518,518
2,m5,Propiconazole,1,0,1681,1535
2,m5,Propiconazole,2,0,1499,1496
2,m5,Propiconazole,1,0.001,1127,1148
2,m5,Propiconazole,1,0.005,1296,1423
2,m5,Propiconazole,2,0.005,1247,1284
2,m5,Propiconazole,1,0.025,1186,1040
2,m5,Propiconazole,1,0.125,815,892
2,m5,Propiconazole,2,0.125,1011,933
2,m5,Propiconazole,1,0.625,683,673
2,m5,Propiconazole,1,3.125,400,400
2,m5,Propiconazole,2,3.125,400,400
2,m5,Propiconazole,1,15.625,400,400
2,m5,Prothioconazole,1,0,1681,1535
2,m5,Prothioconazole,2,0,1499,1496
2,m5,Prothioconazole,1,0.001,1291,1471
2,m5,Prothioconazole,1,0.005,1274,921
2,m5,Prothioconazole,2,0.005,1219,1229
2,m5,Prothioconazole,1,0.025,734,842
2,m5,Prothioconazole,1,0.125,603,596
2,m5,Prothioconazole,2,0.125,678,617
2,m5,Prothioconazole,1,0.625,583,557
2,m5,Prothioconazole,1,3.125,400,400
2,m5,Prothioconazole,2,3.125,400,400
2,m5,Prothioconazole,1,15.625,400,400
2,m5,Tebuconazole,1,0,1681,1535
2,m5,Tebuconazole,2,0,1499,1496
2,m5,Tebuconazole,1,0.001,1287,1416
2,m5,Tebuconazole,1,0.005,1072,1142
2,m5,Tebuconazole,2,0.005,1120,1059
2,m5,Tebuconazole,1,0.025,1280,1323
2,m5,Tebuconazole,1,0.125,1059,1179
2,m5,Tebuconazole,2,0.125,1243,1021
2,m5,Tebuconazole,1,0.625,942,902
2,m5,Tebuconazole,1,3.125,587,586
2,m5,Tebuconazole,2,3.125,526,526
2,m5,Tebuconazole,1,15.625,400,400
1,m6,Myclobutanil,1,0,1756,1719
1,m6,Myclobutanil,2,0,2049,2116
1,m6,Myclobutanil,1,0.001,1900,1862
1,m6,Myclobutanil,1,0.005,1609,1885
1,m6,Myclobutanil,2,0.005,1941,1959
1,m6,Myclobutanil,1,0.025,1918,1887
1,m6,Myclobutanil,1,0.125,1808,1879
1,m6,Myclobutanil,2,0.125,1874,1878
1,m6,Myclobutanil,1,0.625,1769,1762
1,m6,Myclobutanil,1,3.125,1659,1665
1,m6,Myclobutanil,2,3.125,1644,1614
1,m6,Myclobutanil,1,15.625,400,400
1,m6,Propiconazole,1,0,1756,1719
1,m6,Propiconazole,2,0,2049,2116
1,m6,Propiconazole,1,0.001,1774,1810
1,m6,Propiconazole,1,0.005,1433,1431
1,m6,Propiconazole,2,0.005,NA,NA
1,m6,Propiconazole,1,0.025,1950,1829
1,m6,Propiconazole,1,0.125,1457,1458
1,m6,Propiconazole,2,0.125,1252,1322
1,m6,Propiconazole,1,0.625,559,574
1,m6,Propiconazole,1,3.125,400,400
1,m6,Propiconazole,2,3.125,400,400
1,m6,Propiconazole,1,15.625,400,400
1,m6,Prothioconazole,1,0,1756,1719
1,m6,Prothioconazole,2,0,2049,2116
1,m6,Prothioconazole,1,0.001,1170,1297
1,m6,Prothioconazole,1,0.005,1279,1320
1,m6,Prothioconazole,2,0.005,1218,1431
1,m6,Prothioconazole,1,0.025,775,775
1,m6,Prothioconazole,1,0.125,400,400
1,m6,Prothioconazole,2,0.125,400,400
1,m6,Prothioconazole,1,0.625,400,400
1,m6,Prothioconazole,1,3.125,400,400
1,m6,Prothioconazole,2,3.125,400,400
1,m6,Prothioconazole,1,15.625,400,400
1,m6,Tebuconazole,1,0,1756,1719
1,m6,Tebuconazole,2,0,2049,2116
1,m6,Tebuconazole,1,0.001,1862,1778
1,m6,Tebuconazole,1,0.005,1553,1532
1,m6,Tebuconazole,2,0.005,1584,1530
1,m6,Tebuconazole,1,0.025,1542,1518
1,m6,Tebuconazole,1,0.125,1351,1326
1,m6,Tebuconazole,2,0.125,1363,1324
1,m6,Tebuconazole,1,0.625,1261,1196
1,m6,Tebuconazole,1,3.125,400,400
1,m6,Tebuconazole,2,3.125,400,400
1,m6,Tebuconazole,1,15.625,400,400
2,m6,Myclobutanil,1,0,2030,2121
2,m6,Myclobutanil,2,0,2142,2134
2,m6,Myclobutanil,1,0.001,1718,1779
2,m6,Myclobutanil,1,0.005,1834,1805
2,m6,Myclobutanil,2,0.005,1800,1833
2,m6,Myclobutanil,1,0.025,1631,1579
2,m6,Myclobutanil,1,0.125,1439,1599
2,m6,Myclobutanil,2,0.125,1505,1497
2,m6,Myclobutanil,1,0.625,1450,1400
2,m6,Myclobutanil,1,3.125,1467,1439
2,m6,Myclobutanil,2,3.125,1474,1474
2,m6,Myclobutanil,1,15.625,400,400
2,m6,Propiconazole,1,0,2030,2121
2,m6,Propiconazole,2,0,2142,2134
2,m6,Propiconazole,1,0.001,1996,1819
2,m6,Propiconazole,1,0.005,2000,2002
2,m6,Propiconazole,2,0.005,1871,1932
2,m6,Propiconazole,1,0.025,1965,2090
2,m6,Propiconazole,1,0.125,1317,1398
2,m6,Propiconazole,2,0.125,1648,1559
2,m6,Propiconazole,1,0.625,658,711
2,m6,Propiconazole,1,3.125,649,610
2,m6,Propiconazole,2,3.125,400,400
2,m6,Propiconazole,1,15.625,400,400
2,m6,Prothioconazole,1,0,2030,2121
2,m6,Prothioconazole,2,0,2142,2134
2,m6,Prothioconazole,1,0.001,1309,1272
2,m6,Prothioconazole,1,0.005,1272,1247
2,m6,Prothioconazole,2,0.005,1258,1283
2,m6,Prothioconazole,1,0.025,919,965
2,m6,Prothioconazole,1,0.125,400,400
2,m6,Prothioconazole,2,0.125,400,400
2,m6,Prothioconazole,1,0.625,400,400
2,m6,Prothioconazole,1,3.125,400,400
2,m6,Prothioconazole,2,3.125,400,400
2,m6,Prothioconazole,1,15.625,400,400
2,m6,Tebuconazole,1,0,2030,2121
2,m6,Tebuconazole,2,0,2142,2134
2,m6,Tebuconazole,1,0.001,1169,1168
2,m6,Tebuconazole,1,0.005,1134,1154
2,m6,Tebuconazole,2,0.005,1630,1590
2,m6,Tebuconazole,1,0.025,1244,1348
2,m6,Tebuconazole,1,0.125,1216,1191
2,m6,Tebuconazole,2,0.125,1268,1264
2,m6,Tebuconazole,1,0.625,1132,1130
2,m6,Tebuconazole,1,3.125,400,400
2,m6,Tebuconazole,2,3.125,400,400
2,m6,Tebuconazole,1,15.625,400,400
1,w1,Myclobutanil,1,0,3260,3253
1,w1,Myclobutanil,2,0,3097,3190
1,w1,Myclobutanil,1,0.001,4936,4802
1,w1,Myclobutanil,1,0.005,4947,4939
1,w1,Myclobutanil,2,0.005,4540,4623
1,w1,Myclobutanil,1,0.025,4187,4032
1,w1,Myclobutanil,1,0.125,2868,3011
1,w1,Myclobutanil,2,0.125,2980,2899
1,w1,Myclobutanil,1,0.625,1212,1325
