exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,11K11,1,10,5,7.32,6.79
1,Cf,11K11,2,10,5,6.54,7.22
1,Cf,11K11,3,10,5,8.3,7.84
1,Cf,11K17,1,10,5,9.75,9.62
1,Cf,11K17,2,10,5,7.2,7.56
1,Cf,11K17,3,10,5,7.06,7.14
1,Cf,11J23,1,10,5,8.87,8.72
1,Cf,11J23,2,10,5,9.17,9.44
1,Cf,11J23,3,10,5,11.07,9.92
1,Cf,12D46,1,10,5,9.1,9.77
1,Cf,12D46,2,10,5,7.63,7.03
1,Cf,12D46,3,10,5,6.25,6.31
1,Cf,12J05,1,10,5,6.77,6.41
1,Cf,12J05,2,10,5,6.77,6.21
1,Cf,12J05,3,10,5,8.13,6.52
1,Cf,12J41,1,10,5,6.55,6.46
1,Cf,12J41,2,10,5,6.26,6.04
1,Cf,12J41,3,10,5,8.33,6.84
1,Cf,11K11,1,15,5,17.91,17.98
1,Cf,11K11,2,15,5,19.75,20.02
1,Cf,11K11,3,15,5,19.39,24.27
1,Cf,11K17,1,15,5,20.27,20.31
1,Cf,11K17,2,15,5,19.95,20.64
1,Cf,11K17,3,15,5,20.42,20.49
1,Cf,11J23,1,15,5,20.9,20.23
1,Cf,11J23,2,15,5,21.59,21.61
1,Cf,11J23,3,15,5,20.04,20.53
1,Cf,12D46,1,15,5,19.28,20.08
1,Cf,12D46,2,15,5,21,20.81
1,Cf,12D46,3,15,5,20.67,20.17
1,Cf,12J05,1,15,5,17.99,17.22
1,Cf,12J05,2,15,5,19.67,19.17
1,Cf,12J05,3,15,5,19.19,19.38
1,Cf,12J41,1,15,5,16.95,15.96
1,Cf,12J41,2,15,5,16.32,17.53
1,Cf,12J41,3,15,5,16.62,16.17
1,Cf,11K11,1,20,5,24.82,24.45
1,Cf,11K11,2,20,5,25.78,25.65
1,Cf,11K11,3,20,5,24.75,25.26
1,Cf,11K17,1,20,5,26.09,26.57
1,Cf,11K17,2,20,5,26.32,26.44
1,Cf,11K17,3,20,5,26.01,26
1,Cf,11J23,1,20,5,26.22,25.74
1,Cf,11J23,2,20,5,25.38,26.03
1,Cf,11J23,3,20,5,26.12,26.31
1,Cf,12D46,1,20,5,26.12,26.37
1,Cf,12D46,2,20,5,26.26,25.88
1,Cf,12D46,3,20,5,24.84,24.35
1,Cf,12J05,1,20,5,24.95,24.33
1,Cf,12J05,2,20,5,24.17,24.1
1,Cf,12J05,3,20,5,23.79,24.53
1,Cf,12J41,1,20,5,20.52,22.4
1,Cf,12J41,2,20,5,21.4,23.01
1,Cf,12J41,3,20,5,24.12,23.38
1,Cf,11K11,1,25,5,33.63,33.75
1,Cf,11K11,2,25,5,33.12,34.01
1,Cf,11K11,3,25,5,33.46,34.33
1,Cf,11K17,1,25,5,34.89,34.94
1,Cf,11K17,2,25,5,34.85,37.27
1,Cf,11K17,3,25,5,36.08,35.8
1,Cf,11J23,1,25,5,36.34,35.97
1,Cf,11J23,2,25,5,35.46,35.73
1,Cf,11J23,3,25,5,36.62,36.27
1,Cf,12D46,1,25,5,34.61,34.84
1,Cf,12D46,2,25,5,34.59,34.06
1,Cf,12D46,3,25,5,35.86,35.97
1,Cf,12J05,1,25,5,34.3,33.78
1,Cf,12J05,2,25,5,34.38,34.73
1,Cf,12J05,3,25,5,34.71,34.75
1,Cf,12J41,1,25,5,32.65,33.87
1,Cf,12J41,2,25,5,34.97,33.84
1,Cf,12J41,3,25,5,34.14,34.08
1,Cf,11K11,1,30,5,22.64,22.07
1,Cf,11K11,2,30,5,22.47,22.56
1,Cf,11K11,3,30,5,22.69,21.84
1,Cf,11K17,1,30,5,22.55,22.47
1,Cf,11K17,2,30,5,22.37,22.74
1,Cf,11K17,3,30,5,23.16,23.71
1,Cf,11J23,1,30,5,24.46,23.66
1,Cf,11J23,2,30,5,23.2,24.01
1,Cf,11J23,3,30,5,24.94,24.38
1,Cf,12D46,1,30,5,23.08,22.61
1,Cf,12D46,2,30,5,22.88,23.4
1,Cf,12D46,3,30,5,23.03,23.02
1,Cf,12J05,1,30,5,23.12,22.5
1,Cf,12J05,2,30,5,22.69,22.2
1,Cf,12J05,3,30,5,22.74,22.89
1,Cf,12J41,1,30,5,20.56,19.26
1,Cf,12J41,2,30,5,21.91,23.33
1,Cf,12J41,3,30,5,22.07,23.02
1,Cf,11K11,1,35,5,4,4
1,Cf,11K11,2,35,5,4,4
1,Cf,11K11,3,35,5,4,4
1,Cf,11K17,1,35,5,4,4
1,Cf,11K17,2,35,5,4,4
1,Cf,11K17,3,35,5,4,4
1,Cf,11J23,1,35,5,4,4
1,Cf,11J23,2,35,5,4,4
1,Cf,11J23,3,35,5,4,4
1,Cf,12D46,1,35,5,4,4
1,Cf,12D46,2,35,5,4,4
1,Cf,12D46,3,35,5,4,4
1,Cf,12J05,1,35,5,4,4
1,Cf,12J05,2,35,5,4,4
1,Cf,12J05,3,35,5,4,4
1,Cf,12J41,1,35,5,4,4
1,Cf,12J41,2,35,5,4,4
1,Cf,12J41,3,35,5,4,4
1,Cf,11K11,1,10,6,7.99,8.38
1,Cf,11K11,2,10,6,7.91,7.14
1,Cf,11K11,3,10,6,9.24,8.34
1,Cf,11K17,1,10,6,10.83,11.27
1,Cf,11K17,2,10,6,7.43,7.78
1,Cf,11K17,3,10,6,7.62,7.79
1,Cf,11J23,1,10,6,9.35,9.11
1,Cf,11J23,2,10,6,10.49,9.86
1,Cf,11J23,3,10,6,12.84,11.19
1,Cf,12D46,1,10,6,11.24,9.9
1,Cf,12D46,2,10,6,7.71,9.14
1,Cf,12D46,3,10,6,6.96,6.51
1,Cf,12J05,1,10,6,7.45,7.64
1,Cf,12J05,2,10,6,7.04,7.68
1,Cf,12J05,3,10,6,6.95,9.61
