exp,spp,kare,len,wid,vol
2,Cf,11J41,11.59,4.44,179.4482251
2,Cf,11J41,14.43,4.76,256.7852226
2,Cf,11J41,9.82,5.08,199.0346564
2,Cf,11J41,9.44,4.44,146.1597278
2,Cf,11J41,10.65,3.95,130.5069349
2,Cf,11J41,7.74,4.04,99.21868846
2,Cf,11J41,12.58,5.33,280.688649
2,Cf,11J41,13.2,4.99,258.1456514
2,Cf,11J41,12.59,4.41,192.3059404
2,Cf,11J41,9.47,4.73,166.4033448
2,Cf,11J41,12.19,4.07,158.5923794
2,Cf,11J41,10.35,5.28,226.6198699
2,Cf,11J41,13.53,4.33,199.233966
2,Cf,11J41,10.42,4.6,173.1702059
2,Cf,11J41,11.81,4.84,217.285333
2,Cf,11J41,11.6,4.18,159.184341
2,Cf,11K11,13.24,5.27,288.8012087
2,Cf,11K11,11.84,4.89,222.3613037
2,Cf,11K11,9.98,4.99,195.1737576
2,Cf,11K11,10.78,4.83,197.5162417
2,Cf,11K11,13.01,5.19,275.2338235
2,Cf,11K11,13.13,5.25,284.2321001
2,Cf,11K11,10.66,5.12,219.47594
