cober;gesso;prof;varie;bloc;tens;umid
Millet;4;0-0.05;Pérola;4;2;0.3432
Millet;4;0-0.05;Pérola;1;4;0.2686
Millet;4;0-0.05;Pérola;2;4;0.269
Millet;4;0-0.05;Pérola;3;4;0.2482
Millet;4;0-0.05;Pérola;4;4;0.2478
Millet;4;0-0.05;Pérola;1;6;0.2235
Millet;4;0-0.05;Pérola;2;6;0.2207
Millet;4;0-0.05;Pérola;3;6;0.1918
Millet;4;0-0.05;Pérola;4;6;0.2092
Millet;4;0-0.05;Pérola;1;8;0.2024
Millet;4;0-0.05;Pérola;2;8;0.1944
Millet;4;0-0.05;Pérola;3;8;0.1633
Millet;4;0-0.05;Pérola;4;8;0.1829
Millet;4;0-0.05;Pérola;1;9;0.1976
Millet;4;0-0.05;Pérola;2;9;0.184
Millet;4;0-0.05;Pérola;3;9;0.1514
Millet;4;0-0.05;Pérola;4;9;0.1732
Millet;4;0-0.05;Pérola;1;10;0.192
Millet;4;0-0.05;Pérola;2;10;0.1749
Millet;4;0-0.05;Pérola;3;10;0.1459
Millet;4;0-0.05;Pérola;4;10;0.1654
Millet;4;0-0.05;Pérola;1;33;0.1307
Millet;4;0-0.05;Pérola;2;33;0.1249
Millet;4;0-0.05;Pérola;3;33;0.103
Millet;4;0-0.05;Pérola;4;33;0.112
Millet;4;0-0.05;Pérola;1;66;0.1245
Millet;4;0-0.05;Pérola;2;66;0.1212
Millet;4;0-0.05;Pérola;3;66;0.1025
Millet;4;0-0.05;Pérola;4;66;0.0979
Millet;4;0-0.05;Pérola;1;100;0.1055
Millet;4;0-0.05;Pérola;2;100;0.1206
Millet;4;0-0.05;Pérola;3;100;0.0872
Millet;4;0-0.05;Pérola;4;100;0.0925
Millet;4;0-0.05;Pérola;1;300;0.0919
Millet;4;0-0.05;Pérola;2;300;0.1035
Millet;4;0-0.05;Pérola;3;300;0.0743
Millet;4;0-0.05;Pérola;4;300;0.0839
Millet;4;0-0.05;Pérola;1;1500;0.0695
Millet;4;0-0.05;Pérola;2;1500;0.069
Millet;4;0-0.05;Pérola;3;1500;0.0569
Millet;4;0-0.05;Pérola;4;1500;0.0614
Millet;4;0-0.05;Smooth cayenne;1;0;0.4446
Millet;4;0-0.05;Smooth cayenne;2;0;0.4166
Millet;4;0-0.05;Smooth cayenne;3;0;0.4164
Millet;4;0-0.05;Smooth cayenne;4;0;0.3744
Millet;4;0-0.05;Smooth cayenne;1;1;0.4146
Millet;4;0-0.05;Smooth cayenne;2;1;0.3973
Millet;4;0-0.05;Smooth cayenne;3;1;0.3988
Millet;4;0-0.05;Smooth cayenne;4;1;0.3606
Millet;4;0-0.05;Smooth cayenne;1;2;0.3852
Millet;4;0-0.05;Smooth cayenne;2;2;0.3661
Millet;4;0-0.05;Smooth cayenne;3;2;0.3665
Millet;4;0-0.05;Smooth cayenne;4;2;0.3513
Millet;4;0-0.05;Smooth cayenne;1;4;0.3241
Millet;4;0-0.05;Smooth cayenne;2;4;0.2752
Millet;4;0-0.05;Smooth cayenne;3;4;0.273
Millet;4;0-0.05;Smooth cayenne;4;4;0.2522
